zip,latitude,longitude
1519,42.2,-71.69
1520,42.34,-71.84
1521,42.05,-72.16
1522,42.37,-71.87
1523,42.47,-71.68
1524,42.24,-71.92
1525,42.36,-71.9
1526,42.36,-71.9
1527,42.2,-71.76
1529,42.04,-71.58
1531,42.32,-72.12
1532,42.32,-71.65
1534,42.14,-71.64
1535,42.27,-72.08
1536,42.23,-71.71
1537,42.17,-71.89
1538,42.36,-71.9
1540,42.12,-71.87
1541,42.45,-71.88
1542,42.19,-71.91
1543,42.38,-71.96
1545,42.29,-71.73
1546,42.36,-71.9
1550,42.07,-72.04
1560,42.18,-71.69
1561,42.44,-71.69
1562,42.25,-71.99
1564,42.44,-71.77
1566,42.1,-72.09
1568,42.17,-71.61
1569,42.06,-71.63
1570,42.05,-71.86
1571,42.05,-71.92
1580,42.36,-71.9
1581,42.27,-71.61
1582,42.36,-71.9
1583,42.36,-71.79
1585,42.24,-72.17
1586,42.36,-71.9
1588,42.11,-71.67
1590,42.13,-71.75
1601,42.27,-71.88
1602,42.27,-71.84
1603,42.24,-71.84
1604,42.26,-71.77
1605,42.29,-71.79
1606,42.31,-71.8
1607,42.23,-71.8
1608,42.26,-71.8
1609,42.27,-71.81
1610,42.25,-71.81
1611,42.24,-71.87
1612,42.31,-71.92
1613,42.29,-71.8
1614,42.36,-71.9
1615,42.36,-71.9
1634,42.07,-73
1653,42.36,-71.9
1654,42.36,-71.9
1655,42.36,-71.9
1701,42.32,-71.42
1702,42.28,-71.42
1703,42.45,-71.46
1704,42.45,-71.46
1705,42.45,-71.46
1718,42.52,-71.43
1719,42.49,-71.51
1720,42.48,-71.44
1721,42.26,-71.46
1730,42.5,-71.28
1731,42.46,-71.28
1740,42.44,-71.61
1741,42.53,-71.35
1742,42.46,-71.37
1745,42.3,-71.5
1746,42.2,-71.44
1747,42.13,-71.54
1748,42.22,-71.53
1749,42.39,-71.56
1750,42.27,-71.38
1752,42.35,-71.55
1754,42.43,-71.46
1756,42.09,-71.54
1757,42.15,-71.52
1760,42.29,-71.35
1770,42.23,-71.37
1772,42.3,-71.53
1773,42.43,-71.3
1775,42.42,-71.51
1776,42.39,-71.43
1778,42.35,-71.36
1784,42.45,-71.46
1801,42.48,-71.15
1803,42.51,-71.2
1805,42.45,-71.46
1806,42.45,-71.46
1807,42.45,-71.46
1808,42.45,-71.46
1810,42.65,-71.15
1812,42.65,-71.18
1813,42.45,-71.46
1815,42.45,-71.46
1820,42.54,-71.24
1821,42.55,-71.25
1822,42.45,-71.46
1823,42.8,-71.11
1824,42.6,-71.35
1826,42.68,-71.32
1827,42.67,-71.5
1830,42.79,-71.07
1831,42.77,-71.12
1832,42.78,-71.11
1833,42.73,-70.98
1834,42.75,-71.02
1835,42.76,-71.09
1840,42.71,-71.16
1841,42.71,-71.17
1842,42.64,-70.88
1843,42.69,-71.16
1844,42.73,-71.18
1845,42.68,-71.11
1850,42.66,-71.31
1851,42.63,-71.33
1852,42.63,-71.3
1853,42.45,-71.46
1854,42.65,-71.33
1856,42.64,-71.3
1860,42.83,-71
1862,42.57,-71.29
1863,42.63,-71.39
1864,42.58,-71.1
1865,42.45,-71.46
1866,42.45,-71.46
1867,42.53,-71.11
1876,42.6,-71.22
1879,42.67,-71.42
1880,42.5,-71.07
1885,42.64,-70.88
1886,42.59,-71.44
1887,42.56,-71.17
1888,42.45,-71.46
1889,42.57,-71.11
1890,42.45,-71.14
1899,42.64,-70.88
1901,42.46,-70.95
1902,42.47,-70.94
1903,42.64,-70.88
1904,42.49,-70.97
1905,42.46,-70.97
1906,42.46,-71.01
1907,42.47,-70.91
1908,42.43,-70.93
1910,42.45,-70.97
1913,42.85,-70.94
1915,42.56,-70.88
1921,42.68,-71.01
1922,42.76,-70.93
1923,42.57,-70.94
1929,42.63,-70.78
1930,42.62,-70.68
1931,42.64,-70.88
1936,42.64,-70.88
1937,42.64,-70.88
1938,42.68,-70.84
1940,42.53,-71.03
1944,42.58,-70.76
1945,42.5,-70.86
1947,42.64,-70.87
1949,42.6,-71.01
1950,42.81,-70.86
1951,42.78,-70.87
1952,42.85,-70.86
1960,42.53,-70.96
1961,42.64,-70.88
1965,42.56,-70.83
1966,42.66,-70.62
1969,42.72,-70.91
1970,42.52,-70.9
1971,42.64,-70.88
1982,42.62,-70.87
1983,42.64,-70.94
1984,42.6,-70.88
1985,42.79,-70.97
2018,41.97,-70.7
2019,42.08,-71.48
2020,42.08,-70.64
2021,42.17,-71.13
2025,42.24,-70.81
2026,42.24,-71.17
2027,42.18,-71.09
2029,41.82,-71.45
2030,42.24,-71.28
2031,42,-71.2
2032,42.15,-71.21
2035,42.06,-71.24
2038,42.09,-71.41
2040,41.97,-70.7
2041,42.07,-70.65
2043,42.23,-70.89
2044,41.97,-70.7
2045,42.29,-70.88
2047,42.14,-70.69
2048,42.02,-71.22
2050,42.11,-70.69
2051,42.15,-70.73
2052,42.19,-71.3
2053,42.15,-71.42
2054,42.17,-71.36
2055,41.97,-70.7
2056,42.11,-71.33
2059,41.97,-70.7
2060,41.97,-70.7
2061,42.15,-70.82
2062,42.19,-71.2
2065,42.1,-70.65
2066,42.21,-70.75
2067,42.11,-71.18
2070,42.18,-71.09
2071,42.1,-71.27
2072,42.13,-71.11
2081,42.15,-71.25
2085,42.08,-71.29
2090,42.21,-71.21
2093,42.06,-71.35
2101,42.37,-71.03
2102,42.34,-70.92
2103,42.34,-70.92
2104,42.34,-70.92
2105,42.34,-70.92
2106,42.35,-71.07
2107,42.34,-70.92
2108,42.36,-71.06
2109,42.36,-71.05
2110,42.36,-71.05
2111,42.35,-71.06
2112,42.34,-70.92
2113,42.37,-71.06
2114,42.36,-71.07
2115,42.34,-71.09
2116,42.35,-71.07
2117,42.34,-70.92
2118,42.34,-71.07
2119,42.32,-71.08
2120,42.33,-71.1
2121,42.31,-71.08
2122,42.3,-71.05
2123,42.34,-70.92
2124,42.29,-71.07
2125,42.32,-71.06
2126,42.27,-71.09
2127,42.33,-71.05
2128,42.38,-71.03
2129,42.38,-71.06
2130,42.31,-71.11
2131,42.28,-71.13
2132,42.28,-71.16
2133,42.34,-70.92
2134,42.36,-71.13
2135,42.35,-71.15
2136,42.25,-71.13
2137,42.34,-70.92
2138,42.38,-71.13
2139,42.36,-71.1
2140,42.39,-71.13
2141,42.37,-71.08
2142,42.36,-71.08
2143,42.38,-71.1
2144,42.4,-71.12
2145,42.39,-71.09
2146,42.31,-71.09
2147,42.18,-71.09
2148,42.43,-71.06
2149,42.41,-71.05
2150,42.4,-71.03
2151,42.42,-71.01
2152,42.37,-70.98
2153,42.45,-71.46
2154,42.39,-71.24
2155,42.42,-71.11
2156,42.45,-71.46
2157,42.17,-71.19
2158,42.35,-71.19
2159,42.32,-71.19
2160,42.45,-71.46
2161,42.45,-71.46
2162,42.33,-71.25
2163,42.37,-71.12
2164,42.45,-71.46
2165,42.45,-71.46
2166,42.35,-71.24
2167,42.32,-71.17
2168,42.45,-71.46
2169,42.25,-71
2170,42.27,-71.02
2171,42.28,-71.02
2172,42.37,-71.18
2173,42.45,-71.46
2174,42.42,-71.17
2175,42.45,-71.46
2176,42.46,-71.06
2177,42.45,-71.46
2178,42.45,-71.46
2179,42.45,-71.46
2180,42.48,-71.1
2181,42.3,-71.28
2184,42.21,-71
2185,42.18,-71.09
2186,42.25,-71.07
2187,42.18,-71.09
2188,42.21,-70.96
2189,42.21,-70.93
2190,42.17,-70.95
2191,42.24,-70.94
2192,42.18,-71.09
2193,42.45,-71.46
2194,42.29,-71.23
2195,42.45,-71.46
2196,42.34,-70.92
2199,42.35,-71.08
2201,42.34,-70.92
2202,42.36,-71.06
2203,42.36,-71.06
2204,42.34,-70.92
2205,42.35,-71.05
2206,42.34,-70.92
2207,42.34,-70.92
2208,42.34,-70.92
2209,42.34,-70.92
2210,42.35,-71.04
2211,42.34,-70.92
2212,42.45,-71.46
2215,42.35,-71.1
2216,42.34,-70.92
2217,42.34,-70.92
2222,42.37,-71.06
2238,42.45,-71.46
2239,42.45,-71.46
2241,42.34,-70.92
2254,42.45,-71.46
2258,42.45,-71.46
2266,42.34,-70.92
2269,42.18,-71.09
2272,42.45,-71.46
2277,42.45,-71.46
2283,42.34,-70.92
2284,42.34,-70.92
2293,42.34,-70.92
2295,42.34,-70.92
2297,42.34,-70.92
2301,42.08,-71.03
2302,42.09,-71
2303,41.97,-70.7
2304,41.97,-70.7
2305,41.97,-70.7
2322,42.12,-71.05
2324,41.98,-70.97
2325,41.99,-70.97
2327,42.04,-70.83
2330,41.87,-70.77
2331,41.97,-70.7
2332,42.03,-70.7
2333,42.03,-70.95
2334,42.02,-71.13
2337,42.02,-70.93
2338,42,-70.85
2339,42.13,-70.86
2341,42.06,-70.86
2343,42.15,-71.01
2344,41.97,-70.7
2345,41.89,-70.58
2346,41.89,-70.89
2347,41.84,-70.96
2348,41.97,-70.7
2349,41.97,-70.7
2350,42.02,-70.85
2351,42.12,-70.95
2355,41.92,-70.8
2356,42.06,-71.11
2357,42.06,-71.09
2358,41.81,-70.63
2359,42.07,-70.8
2360,41.89,-70.62
2361,41.97,-70.7
2362,41.97,-70.7
2363,41.96,-70.71
2364,41.99,-70.74
2366,41.85,-70.66
2367,41.97,-70.8
2368,42.17,-71.05
2369,41.66,-70.14
2370,42.13,-70.91
2375,42.03,-71.1
2379,42.02,-71.02
2381,41.93,-70.56
2382,42.08,-70.94
2401,42.08,-71.03
2402,42.09,-71
2403,41.97,-70.7
2404,41.97,-70.7
2405,41.97,-70.7
2407,42.14,-70.69
2420,42.45,-71.22
2421,42.44,-71.24
2445,42.32,-71.14
2446,42.34,-71.12
2447,42.18,-71.09
2451,42.39,-71.25
2452,42.39,-71.22
2453,42.37,-71.24
2454,42.36,-71.25
2456,42.45,-71.46
2457,42.18,-71.09
2458,42.35,-71.19
2459,42.32,-71.19
2460,42.35,-71.21
2461,42.32,-71.21
2462,42.33,-71.26
2464,42.31,-71.22
2465,42.35,-71.23
2466,42.35,-71.25
2467,42.32,-71.17
2468,42.33,-71.23
2471,42.45,-71.46
2472,42.37,-71.18
2474,42.42,-71.16
2475,42.45,-71.46
2476,42.42,-71.18
2477,42.45,-71.46
2478,42.39,-71.17
2479,42.45,-71.46
2481,42.31,-71.28
2482,42.3,-71.3
2492,42.28,-71.23
2493,42.36,-71.29
2494,42.3,-71.23
2495,42.45,-71.46
2532,41.75,-70.6
2534,41.67,-70.62
2535,41.35,-70.75
2536,41.58,-70.56
2537,41.73,-70.44
2538,41.78,-70.65
2539,41.38,-70.52
2540,41.56,-70.62
2541,41.8,-70.31
2542,41.67,-70.52
2543,41.53,-70.67
2549,41.62,-70.5
2551,41.45,-70.56
2552,41.38,-70.64
2553,41.67,-70.61
2554,41.28,-70.09
2556,41.64,-70.63
2557,41.42,-70.56
2558,41.75,-70.66
2559,41.69,-70.62
2561,41.77,-70.53
2562,41.79,-70.52
2563,41.74,-70.49
2564,41.27,-70.02
2565,41.8,-70.31
2567,41.79,-70.53
2568,41.45,-70.61
2571,41.75,-70.71
2573,41.38,-70.64
2574,41.6,-70.64
2575,41.38,-70.66
2576,41.78,-70.76
2584,41.28,-70.05
2595,41.38,-70.66
2601,41.65,-70.29
2625,41.64,-70.43
2630,41.7,-70.3
2631,41.75,-70.08
2632,41.66,-70.35
2633,41.69,-69.98
2634,41.8,-70.31
2635,41.63,-70.44
2636,41.8,-70.31
2637,41.7,-70.28
2638,41.74,-70.19
2639,41.66,-70.13
2641,41.73,-70.2
2642,41.84,-69.99
2643,41.78,-69.96
2644,41.68,-70.51
2645,41.71,-70.06
2646,41.67,-70.07
2647,41.63,-70.3
2648,41.67,-70.42
2649,41.61,-70.49
2650,41.7,-69.97
2651,41.82,-69.98
2652,42.03,-70.08
2653,41.78,-69.97
2654,41.54,-69.99
2655,41.63,-70.39
2657,42.05,-70.19
2659,41.68,-70.02
2660,41.71,-70.16
2661,41.68,-70.04
2662,41.76,-69.98
2663,41.8,-70.08
2664,41.67,-70.2
2666,41.99,-70.05
2667,41.92,-70.01
2668,41.71,-70.37
2669,41.67,-69.99
2670,41.66,-70.17
2671,41.67,-70.11
2672,41.64,-70.32
2673,41.66,-70.24
2675,41.7,-70.22
2702,41.79,-71.06
2703,41.93,-71.31
2712,41.76,-71.07
2713,41.43,-70.9
2714,41.76,-71.07
2715,41.81,-71.14
2717,41.77,-70.95
2718,41.88,-71.02
2719,41.63,-70.88
2720,41.72,-71.14
2721,41.69,-71.15
2722,41.76,-71.07
2723,41.69,-71.13
2724,41.68,-71.17
2725,41.72,-71.17
2726,41.75,-71.15
2735,42,-71.11
2738,41.71,-70.75
2739,41.65,-70.8
2740,41.63,-70.94
2741,41.76,-71.07
2742,41.62,-70.96
2743,41.7,-70.91
2744,41.61,-70.91
2745,41.69,-70.93
2746,41.66,-70.93
2747,41.64,-70.99
2748,41.59,-70.95
2760,41.98,-71.33
2761,41.76,-71.07
2762,42.01,-71.32
2763,41.97,-71.31
2764,41.85,-71.15
2766,41.97,-71.19
2767,41.93,-71.05
2768,41.76,-71.07
2769,41.84,-71.26
2770,41.76,-70.84
2771,41.84,-71.32
2777,41.74,-71.21
2779,41.83,-71.08
2780,41.9,-71.1
2781,41.52,-71.07
2783,41.76,-71.07
2789,41.49,-71.46
2790,41.6,-71.09
2791,41.52,-71.09
2801,41.53,-71.28
2802,41.95,-71.46
2804,41.43,-71.78
2805,41.83,-71.71
2806,41.75,-71.32
2807,41.17,-71.58
2808,41.4,-71.75
2809,41.68,-71.27
2812,41.47,-71.66
2813,41.39,-71.67
2814,41.9,-71.7
2815,41.78,-71.67
2816,41.69,-71.57
2817,41.63,-71.67
2818,41.65,-71.47
2822,41.56,-71.61
2823,41.73,-71.55
2824,42,-71.56
2825,41.79,-71.72
2826,41.98,-71.6
2827,41.7,-71.74
2828,41.87,-71.55
2829,41.88,-71.59
2830,41.98,-71.65
2831,41.74,-71.57
2832,41.51,-71.73
2833,41.47,-71.78
2835,41.52,-71.37
2836,41.45,-71.62
2837,41.52,-71.17
2838,41.97,-71.48
2839,41.95,-71.64
2840,41.49,-71.31
2841,41.5,-71.3
2842,41.51,-71.29
2852,41.59,-71.45
2854,41.38,-71.64
2857,41.84,-71.63
2858,41.96,-71.65
2859,41.96,-71.72
2860,41.87,-71.39
2861,41.88,-71.36
2862,41.86,-71.37
2863,41.89,-71.39
2864,41.95,-71.41
2865,41.91,-71.43
2871,41.6,-71.26
2872,41.71,-71.29
2873,41.52,-71.77
2874,41.52,-71.46
2875,41.45,-71.64
2876,42,-71.58
2877,41.53,-71.53
2878,41.63,-71.19
2879,41.42,-71.52
2880,41.38,-71.64
2881,41.48,-71.53
2882,41.43,-71.46
2883,41.38,-71.64
2885,41.73,-71.27
2886,41.71,-71.45
2887,41.68,-71.56
2888,41.75,-71.41
2889,41.71,-71.39
2891,41.35,-71.8
2892,41.5,-71.58
2893,41.7,-71.52
2894,41.44,-71.7
2895,42,-71.51
2896,41.99,-71.55
2898,41.51,-71.68
2901,41.82,-71.41
2902,41.82,-71.42
2903,41.82,-71.41
2904,41.86,-71.43
2905,41.79,-71.4
2906,41.84,-71.39
2907,41.8,-71.42
2908,41.84,-71.44
2909,41.82,-71.45
2910,41.78,-71.44
2911,41.85,-71.47
2912,41.83,-71.4
2914,41.81,-71.37
2915,41.77,-71.36
2916,41.84,-71.35
2917,41.89,-71.52
2918,41.84,-71.44
2919,41.83,-71.49
2920,41.77,-71.46
2921,41.76,-71.51
2940,41.87,-71.56
3004,43,-71.15
3030,42.75,-71.46
3031,42.85,-71.61
3032,43,-71.35
3033,42.74,-71.67
3034,43.05,-71.31
3036,42.97,-71.23
3037,43.14,-71.25
3038,42.89,-71.3
3040,43.01,-71.01
3041,43.01,-71.01
3042,43.05,-71.07
3043,42.98,-71.81
3044,42.99,-71.13
3045,43.04,-71.57
3046,43.1,-71.6
3047,42.94,-71.87
3048,42.75,-71.78
3049,42.74,-71.58
3051,42.76,-71.42
3052,42.85,-71.45
3053,42.88,-71.38
3054,42.86,-71.51
3055,42.83,-71.67
3057,42.9,-71.68
3058,42.8,-71.95
3060,42.75,-71.46
3061,42.95,-71.65
3062,42.72,-71.49
3063,42.77,-71.51
3064,42.77,-71.47
3070,42.98,-71.69
3071,42.75,-71.87
3073,43.01,-71.01
3076,42.73,-71.32
3077,43.03,-71.2
3079,42.79,-71.21
3082,42.9,-71.78
3084,42.82,-71.85
3086,42.83,-71.78
3087,42.81,-71.3
3091,43.32,-70.82
3097,43.27,-70.6
3101,42.99,-71.46
3102,42.99,-71.49
3103,42.97,-71.45
3104,43.01,-71.45
3105,42.95,-71.65
3106,43.06,-71.44
3107,42.95,-71.65
3108,42.95,-71.65
3109,42.97,-71.41
3110,42.94,-71.52
3111,42.95,-71.65
3215,43.95,-71.5
3216,43.44,-71.78
3217,43.71,-71.63
3218,43.34,-71.29
3220,43.46,-71.47
3221,43.26,-71.95
3222,43.62,-71.75
3223,43.89,-71.65
3224,43.35,-71.54
3225,43.35,-71.23
3226,43.72,-71.5
3227,43.8,-71.45
3229,43.2,-71.71
3230,43.51,-71.87
3231,43.47,-71.74
3232,43.97,-71.84
3233,43.42,-71.94
3234,43.23,-71.36
3235,43.44,-71.66
3237,43.43,-71.38
3238,43.97,-71.84
3240,43.57,-71.96
3241,43.71,-71.81
3242,43.17,-71.82
3243,43.52,-71.74
3244,43.12,-71.92
3245,43.74,-71.6
3246,43.56,-71.44
3247,43.59,-71.45
3249,43.56,-71.4
3251,44.05,-71.66
3252,43.47,-71.54
3253,43.64,-71.5
3254,43.71,-71.39
3255,43.33,-72.03
3256,43.61,-71.64
3257,43.42,-72
3258,43.26,-71.4
3259,43.88,-71.39
3260,43.36,-71.93
3261,43.22,-71.21
3262,44.03,-71.69
3263,43.3,-71.32
3264,43.75,-71.65
3266,43.81,-71.88
