zip,latitude,longitude
210,43.01,-71.01
211,43.01,-71.01
212,43.01,-71.01
213,43.01,-71.01
214,43.01,-71.01
215,43.01,-71.01
501,40.92,-72.64
544,40.92,-72.64
601,18.18,-66.75
602,18.36,-67.18
603,18.45,-67.13
604,18.5,-67.14
605,18.47,-67.14
606,18.18,-66.96
607,18.26,-66.1
609,18.14,-66.27
610,18.29,-67.14
611,18.28,-66.8
612,18.45,-66.7
613,18.46,-66.73
614,18.43,-66.67
615,17.97,-66.06
616,18.43,-66.68
617,18.46,-66.56
618,18.19,-66.31
622,18,-67.17
623,18.09,-67.15
624,18.06,-66.73
625,18.23,-66.04
626,18.24,-66.04
627,18.44,-66.86
631,18.19,-66.85
633,18.19,-66.18
634,18.11,-66.18
635,18.26,-65.65
636,18.11,-67.04
637,18.07,-66.95
638,18.31,-66.5
639,18.18,-66.16
640,18.08,-66.36
641,18.27,-66.71
643,18.34,-66.32
644,18.05,-66.55
645,18.31,-65.3
646,18.44,-66.28
647,17.96,-66.94
648,18.33,-65.66
650,18.36,-66.57
652,18.46,-66.61
653,17.99,-66.9
654,17.98,-66.12
655,17.98,-66.12
656,18.04,-66.79
658,18.25,-65.97
659,18.43,-66.8
660,18.14,-67.12
661,18.15,-65.83
662,18.48,-67.02
664,18.21,-66.59
665,18.04,-66.5
666,18.23,-65.92
667,18.02,-67.04
669,18.29,-66.88
670,18.24,-66.98
671,18.18,-65.87
674,18.43,-66.49
676,18.38,-67.08
677,18.34,-67.24
678,18.44,-66.93
680,18.21,-67.13
681,18.22,-67.51
682,18.21,-67.15
683,18.09,-67.05
685,18.33,-66.98
687,18.32,-66.42
688,18.4,-66.61
690,18.5,-67.1
692,18.42,-66.33
693,18.44,-66.39
694,18.44,-66.4
698,18.07,-66.86
703,18.25,-66.13
704,17.97,-66.22
705,18.13,-66.27
707,18.01,-65.91
714,17.99,-66.06
715,18,-66.56
716,18,-66.6
717,18,-66.61
718,18.22,-65.74
719,18.29,-66.25
720,18.22,-66.42
721,18.36,-65.78
723,18.02,-66.01
725,18.23,-66.05
726,18.21,-66.06
728,18.01,-66.65
729,18.36,-65.89
730,18.02,-66.62
731,18.08,-66.61
732,18.02,-66.61
733,18.02,-66.62
734,18,-66.64
735,18.26,-65.66
736,18.11,-66.15
737,18.1,-66.14
738,18.32,-65.66
739,18.17,-66.16
740,18.33,-65.63
741,18.16,-65.76
742,18.26,-65.59
744,18.21,-65.74
745,18.37,-65.82
747,18.07,-66.95
748,18.33,-65.65
751,17.99,-66.27
752,18.49,-67.1
754,18.16,-65.97
757,17.99,-66.39
761,18.27,-66.7
762,18.42,-66.32
763,18.45,-66.4
764,18.45,-66.4
765,18.13,-65.46
766,18.13,-66.48
767,18.07,-65.9
768,18.03,-66.86
769,18.09,-66.36
771,18.19,-65.87
772,18.43,-65.88
773,18.36,-65.72
775,18.31,-65.29
777,18.22,-65.91
778,18.26,-65.98
780,18.07,-66.56
782,18.22,-66.23
783,18.3,-66.32
784,17.98,-66.13
785,18.02,-66.8
786,18.13,-66.27
791,18.15,-65.82
792,18.14,-65.79
794,18.2,-66.31
795,18.04,-66.5
801,18.32,-64.96
802,18.32,-64.96
803,18.32,-64.96
804,18.32,-64.96
805,18.32,-64.96
820,17.73,-64.73
821,17.73,-64.73
822,17.73,-64.73
823,17.73,-64.73
824,17.73,-64.73
830,18.33,-64.74
831,18.33,-64.74
840,17.73,-64.73
841,17.73,-64.73
850,17.73,-64.73
851,17.73,-64.73
901,18.47,-66.11
902,18.41,-66.06
906,18.46,-66.1
907,18.45,-66.08
908,18.41,-66.06
909,18.44,-66.07
910,18.41,-66.06
911,18.45,-66.06
912,18.45,-66.06
913,18.45,-66.04
914,18.41,-66.06
915,18.44,-66.05
916,18.41,-66.06
917,18.42,-66.05
918,18.42,-66.06
919,18.41,-66.06
920,18.41,-66.09
921,18.39,-66.09
922,18.41,-66.06
923,18.41,-66.04
924,18.4,-66.01
925,18.4,-66.05
926,18.36,-66.06
927,18.39,-66.07
928,18.41,-66.06
929,18.41,-66.06
930,18.41,-66.06
931,18.41,-66.06
933,18.41,-66.06
934,18.41,-66.12
935,18.41,-66.06
936,18.41,-66.06
937,18.41,-66.06
938,18.41,-66.06
939,18.41,-66.06
940,18.41,-66.06
949,18.43,-66.2
950,18.46,-66.2
951,18.46,-66.2
952,18.43,-66.18
953,18.37,-66.23
954,18.36,-66.26
955,18.41,-66.06
956,18.34,-66.17
957,18.37,-66.19
958,18.34,-66.17
959,18.39,-66.16
960,18.34,-66.17
961,18.41,-66.16
962,18.44,-66.14
963,18.44,-66.14
965,18.43,-66.12
966,18.4,-66.12
968,18.41,-66.1
969,18.37,-66.11
970,18.36,-66.11
971,18.33,-66.12
975,18.41,-66.06
976,18.35,-66.01
977,18.34,-65.99
978,18.34,-65.99
979,18.43,-66.01
981,18.41,-66.06
982,18.41,-65.99
983,18.41,-65.98
984,18.39,-65.97
985,18.37,-65.95
986,18.39,-65.97
987,18.37,-65.96
988,18.39,-65.97
1001,42.07,-72.62
1002,42.38,-72.5
1003,42.37,-72.64
1004,42.38,-72.51
1005,42.41,-72.1
1007,42.28,-72.41
1008,42.17,-72.95
1009,42.21,-72.34
1010,42.13,-72.21
1011,42.27,-73.02
1012,42.39,-72.84
1013,42.16,-72.6
1014,42.17,-72.6
1020,42.18,-72.57
1021,42.17,-72.6
1022,42.2,-72.56
1026,42.47,-72.92
1027,42.27,-72.69
1028,42.07,-72.51
1029,42.18,-73.04
1030,42.07,-72.67
1031,42.33,-72.19
1032,42.46,-72.82
1033,42.25,-72.52
1034,42.09,-72.94
1035,42.36,-72.57
1036,42.06,-72.42
1037,42.37,-72.2
1038,42.38,-72.61
1039,42.38,-72.69
1040,42.2,-72.62
1041,42.17,-72.6
1050,42.29,-72.88
1053,42.35,-72.7
1054,42.48,-72.5
1056,42.17,-72.47
1057,42.09,-72.32
1059,42.37,-72.64
1060,42.32,-72.64
1061,42.37,-72.64
1062,42.32,-72.68
1063,42.32,-72.64
1066,42.41,-72.63
1068,42.35,-72.04
1069,42.18,-72.33
1070,42.52,-72.92
1071,42.17,-72.85
1072,42.49,-72.42
1073,42.22,-72.73
1074,42.38,-72.15
1075,42.23,-72.58
1077,42.05,-72.77
1079,42.19,-72.33
1080,42.18,-72.37
1081,42.06,-72.23
1082,42.27,-72.26
1083,42.2,-72.2
1084,42.38,-72.89
1085,42.13,-72.75
1086,42.17,-72.85
1088,42.39,-72.63
1089,42.11,-72.64
1090,42.17,-72.6
1092,42.21,-72.24
1093,42.44,-72.65
1094,42.36,-72.14
1095,42.13,-72.44
1096,42.42,-72.78
1097,42.16,-72.85
1098,42.4,-72.94
1101,42.17,-72.6
1102,42.17,-72.6
1103,42.1,-72.59
1104,42.13,-72.57
1105,42.1,-72.58
1106,42.05,-72.57
1107,42.12,-72.61
1108,42.08,-72.56
1109,42.12,-72.55
1111,42.17,-72.6
1114,42.17,-72.6
1115,42.1,-72.59
1116,42.17,-72.6
1118,42.09,-72.53
1119,42.13,-72.51
1128,42.1,-72.49
1129,42.12,-72.49
1133,42.17,-72.6
1138,42.17,-72.6
1139,42.17,-72.6
1144,42.1,-72.59
1151,42.15,-72.51
1152,42.17,-72.6
1199,42.12,-72.6
1201,42.45,-73.25
1202,42.39,-73.23
1203,42.39,-73.23
1220,42.62,-73.12
1222,42.06,-73.32
1223,42.31,-73.09
1224,42.39,-73.23
1225,42.55,-73.17
1226,42.48,-73.12
1227,42.52,-73.09
1229,42.28,-73.34
1230,42.19,-73.35
1231,42.15,-73.3
1235,42.43,-73.09
1236,42.27,-73.36
1237,42.56,-73.24
1238,42.3,-73.23
1240,42.36,-73.28
1242,42.34,-73.25
1243,42.36,-73.01
1244,42.14,-73.2
1245,42.18,-73.21
1247,42.7,-73.1
1252,42.2,-73.45
1253,42.2,-73.1
1254,42.37,-73.36
1255,42.09,-73.12
1256,42.59,-73.01
1257,42.1,-73.37
1258,42.1,-73.46
1259,42.06,-73.25
1260,42.29,-73.31
1262,42.28,-73.31
1263,42.39,-73.23
1264,42.22,-73.2
1266,42.33,-73.36
1267,42.69,-73.22
1270,42.44,-73.12
1301,42.61,-72.6
1302,42.52,-72.62
1330,42.52,-72.81
1331,42.58,-72.21
1337,42.68,-72.56
1338,42.57,-72.8
1339,42.63,-72.88
1340,42.67,-72.73
1341,42.51,-72.7
1342,42.54,-72.61
1343,42.64,-72.99
1344,42.61,-72.41
1346,42.67,-72.8
1347,42.56,-72.52
1349,42.57,-72.51
1350,42.71,-72.98
1351,42.53,-72.53
1354,42.52,-72.62
1355,42.49,-72.33
1360,42.68,-72.46
1364,42.6,-72.29
1366,42.47,-72.21
1367,42.69,-72.91
1368,42.67,-72.17
1369,42.52,-72.62
1370,42.6,-72.73
1373,42.47,-72.62
1374,42.64,-72.8
1375,42.45,-72.56
1376,42.61,-72.54
1378,42.67,-72.33
1379,42.55,-72.42
1380,42.59,-72.36
1393,42.46,-72.59
1420,42.58,-71.8
1427,42.29,-71.59
1430,42.66,-71.93
1431,42.67,-71.81
1432,42.55,-71.59
1436,42.61,-72.08
1438,42.56,-72.03
1440,42.58,-71.99
1441,42.36,-71.9
1450,42.61,-71.56
1451,42.51,-71.59
1452,42.48,-72
1453,42.53,-71.75
1460,42.54,-71.49
1462,42.58,-71.72
1463,42.67,-71.59
1464,42.56,-71.65
1467,42.49,-71.62
1468,42.56,-72.07
1469,42.66,-71.69
1470,42.45,-71.46
1471,42.45,-71.46
1472,42.45,-71.46
1473,42.54,-71.9
1474,42.67,-71.75
1475,42.68,-72.05
1477,42.36,-71.9
1501,42.2,-71.84
1503,42.38,-71.63
1504,42.03,-71.53
1505,42.34,-71.73
1506,42.2,-72.1
1507,42.14,-71.97
1508,42.11,-72.08
1509,42.36,-71.9
1510,42.42,-71.68
1515,42.21,-72.05
1516,42.06,-71.73
1517,42.36,-71.9
1518,42.13,-72.12
