1,375,-0.14,-1.35,7.7,255:255:0
2,270,-0.14,-1.35,8.3,255:255:0
3,377,-0.14,-1.35,7.8,255:255:0
4,57,-0.14,-1.59,11.4,255:255:0
5,43,-0.12,-1.45,11.1,255:255:0
6,94,-0.06,-1.80,12.6,255:255:0
7,164,0.00,-1.64,9.2,255:133:255
8,522,0.05,-1.81,10.6,255:255:0
9,276,0.06,-1.65,9.4,255:133:255
10,74,0.07,-1.70,12.1,255:255:0
11,173,0.08,-1.68,12.1,255:255:0
12,476,0.17,-1.84,13.4,163:20:250
13,56,0.24,-1.73,10.6,255:133:255
14,208,0.24,-1.75,9.5,255:133:255
15,446,0.24,-1.73,12.7,255:133:255
16,359,0.24,-1.74,8.5,255:133:255
17,291,0.26,-1.82,10.0,163:20:250
18,331,0.30,-1.93,8.0,255:133:255
19,371,0.30,-1.71,7.8,255:133:255
20,156,0.33,-1.97,12.2,163:20:250
21,3,0.33,-1.80,21.4,255:133:255
22,356,0.33,-1.70,8.1,255:133:255
23,160,0.34,-1.77,10.5,255:133:255
24,306,0.36,-1.74,8.9,255:133:255
25,458,0.36,-1.74,11.8,255:133:255
26,474,0.37,-1.95,10.8,255:133:255
27,137,0.38,-1.81,11.9,255:133:255
28,14,0.39,-2.04,16.5,163:20:250
29,188,0.39,-1.87,9.0,255:133:255
30,295,0.40,-1.82,10.1,255:133:255
31,221,0.40,-2.05,10.4,163:20:250
32,428,0.41,-1.79,12.9,255:133:255
33,64,0.42,-2.06,15.6,163:20:250
34,430,0.42,-1.73,14.3,255:133:255
35,395,0.42,-1.77,6.2,255:133:255
36,136,0.43,-1.90,11.2,255:133:255
37,159,0.43,-1.81,9.1,255:133:255
38,370,0.44,-1.96,10.5,255:133:255
39,393,0.45,-2.07,9.5,163:20:250
40,435,0.45,-2.07,14.7,163:20:250
41,392,0.45,-2.11,9.1,163:20:250
42,337,0.46,-2.15,10.1,163:20:250
43,152,0.47,-1.74,10.3,255:133:255
44,526,0.47,-1.90,12.0,255:133:255
45,433,0.47,-1.90,16.6,255:133:255
46,288,0.47,-1.76,11.2,255:133:255
47,186,0.48,-1.91,13.8,255:133:255
48,317,0.49,-1.88,10.6,255:133:255
49,489,0.49,-1.85,13.9,255:133:255
50,118,0.52,-1.84,10.6,255:133:255
51,280,0.53,-1.85,8.6,255:133:255
52,450,0.54,-1.99,15.9,255:133:255
53,5,0.54,-1.89,19.7,255:133:255
54,481,0.54,-1.89,10.5,255:133:255
55,299,0.54,-1.92,12.3,255:133:255
56,193,0.55,-1.83,12.7,255:133:255
57,400,0.56,-1.78,14.9,255:133:255
58,121,0.56,-1.88,11.7,255:133:255
59,398,0.57,-1.94,9.2,255:133:255
60,96,0.61,-1.85,15.2,255:133:255
61,501,0.63,-2.02,14.1,163:20:250
62,351,0.64,-2.04,10.8,163:20:250
63,308,0.65,-1.97,12.7,255:133:255
64,455,0.65,-1.95,17.2,255:133:255
65,153,0.65,-1.93,12.2,255:133:255
66,66,0.65,-1.98,14.8,255:133:255
67,484,0.65,-1.98,12.5,255:133:255
68,330,0.69,-1.98,8.8,255:133:255
69,225,0.70,-1.82,9.8,255:133:255
70,228,0.71,-2.05,10.2,163:20:250
71,65,0.75,-2.09,15.1,255:133:255
72,108,0.77,-2.20,17.0,163:20:250
73,253,0.78,-2.06,10.1,255:133:255
74,385,0.78,-2.14,11.8,255:133:255
75,517,0.80,-2.12,15.9,255:133:255
76,240,0.80,-2.11,13.6,255:133:255
77,553,0.82,-1.75,5.6,255:133:255
78,322,0.85,-2.00,12.7,163:20:250
79,46,0.85,-2.17,20.1,255:133:255
80,175,0.86,-2.09,13.0,163:20:250
81,409,0.87,-1.81,21.1,163:20:250
82,223,0.88,-2.13,10.6,97:255:255
83,219,0.91,-2.21,12.6,255:133:255
84,232,0.93,-2.17,15.8,163:20:250
85,125,0.94,-2.21,20.8,163:20:250
86,176,0.94,-2.21,17.2,163:20:250
87,353,0.95,-2.06,9.8,163:20:250
88,229,0.96,-2.20,17.7,163:20:250
89,111,0.96,-1.83,13.2,97:255:255
90,483,0.96,-2.11,19.4,163:20:250
91,463,0.97,-2.23,18.5,163:20:250
92,103,0.97,-2.08,20.4,163:20:250
93,92,1.07,-1.63,17.3,163:20:250
