AL-01	(31.008681,-87.797812)
AL-02	(31.702085,-86.076842)
AL-03	(33.150564,-85.700228)
AL-04	(34.118181,-87.213810)
AL-05	(34.754994,-86.711133)
AL-06	(33.260169,-86.713586)
AL-07	(32.449235,-87.640501)
AK-00	(63.346191,-152.837068)
AZ-01	(34.971013,-110.725925)
AZ-02	(31.916381,-109.938623)
AZ-03	(32.423815,-112.402591)
AZ-04	(34.590918,-113.204528)
AZ-05	(33.339408,-111.712018)
AZ-06	(33.666924,-111.888600)
AZ-07	(33.427819,-112.118768)
AZ-08	(33.695581,-112.299574)
AZ-09	(33.406007,-111.949996)
AR-01	(35.293906,-91.258311)
AR-02	(35.099565,-92.379511)
AR-03	(36.138288,-94.062449)
AR-04	(34.219575,-93.204357)
CA-01	(40.731988,-121.510516)
CA-02	(40.094059,-123.464974)
CA-03	(39.031952,-122.089573)
CA-04	(37.982452,-119.927973)
CA-05	(38.515806,-122.462559)
CA-06	(38.594033,-121.479768)
CA-07	(38.475807,-121.218063)
CA-08	(35.662557,-116.819546)
CA-09	(38.010873,-121.307147)
CA-10	(37.586366,-121.054083)
CA-11	(37.903876,-122.000938)
CA-12	(37.785514,-122.434000)
CA-13	(37.778962,-122.239248)
CA-14	(37.574673,-122.494794)
CA-15	(37.655654,-121.835030)
CA-16	(37.109453,-120.521745)
CA-17	(37.444030,-121.967348)
CA-18	(37.202132,-122.153712)
CA-19	(37.213101,-121.550377)
CA-20	(36.373286,-121.275218)
CA-21	(36.086714,-119.851500)
CA-22	(36.476861,-119.389551)
CA-23	(35.611137,-118.538728)
CA-24	(34.919637,-120.112845)
CA-25	(34.588060,-118.280269)
CA-26	(34.167023,-119.129955)
CA-27	(34.265083,-117.934887)
CA-28	(34.250058,-118.291452)
CA-29	(34.266695,-118.430313)
CA-30	(34.201873,-118.546956)
CA-31	(34.110010,-117.353328)
CA-32	(34.089458,-117.913968)
CA-33	(34.046991,-118.783251)
CA-34	(34.074655,-118.228269)
CA-35	(34.045401,-117.588323)
CA-36	(33.726592,-115.742704)
CA-37	(34.016123,-118.368705)
CA-38	(33.940424,-118.062629)
CA-39	(33.940378,-117.834936)
CA-40	(33.969867,-118.179207)
CA-41	(33.917866,-117.308367)
CA-42	(33.675043,-117.229697)
CA-43	(33.903110,-118.336303)
CA-44	(33.818750,-118.250983)
CA-45	(33.714258,-117.668355)
CA-46	(33.790804,-117.896363)
CA-47	(33.367642,-118.481043)
CA-48	(33.619495,-117.905765)
CA-49	(33.314786,-117.379519)
CA-50	(33.113548,-116.622590)
CA-51	(32.996239,-115.525428)
CA-52	(32.857220,-117.165360)
CA-53	(32.718314,-117.031482)
CO-01	(39.732286,-104.908758)
