AK-00	(65.831211,-153.889621)
AL-01	(30.9500435,-88.0224495)
AL-02	(31.6159475,-85.554308)
AL-03	(32.645481,-85.5152285)
AL-04	(33.9572155,-87.58072)
AL-05	(34.5773615,-87.317764)
AL-06	(32.969989,-86.755093)
AL-07	(32.4329315,-87.5444845)
AR-01	(35.410599,-90.762799)
AR-02	(35.0924935,-92.488168)
AR-03	(35.772567,-93.3757575)
AR-04	(33.983474,-93.3648025)
AS-00	(-14.309960,-170.702377)
AZ-01	(34.5226915,-110.582792)
AZ-02	(35.3235705,-113.953426)
AZ-03	(33.8437945,-112.0921315)
AZ-04	(33.4068935,-112.0632015)
AZ-05	(33.6543055,-111.7402155)
AZ-06	(33.3353315,-111.6462105)
AZ-07	(33.2657444959119,-113.903333656973)
AZ-08	(31.879928,-109.7507735)
CA-01	(39.3007005,-123.288046)
CA-10	(38.1656595,-121.952904)
CA-11	(37.4144725,-121.6116775)
CA-12	(37.6619335,-122.4604835)
CA-13	(37.5842052512339,-122.06320782703)
CA-14	(37.218439,-122.214453)
CA-15	(36.9959245,-121.6201515)
CA-16	(37.3202405,-121.7920625)
CA-17	(36.4171695,-121.315966)
CA-18	(37.232907,-120.7368265)
CA-19	(37.6703845,-119.8142755)
CA-02	(41.098191,-122.426267)
CA-20	(36.008232,-119.886306)
CA-21	(36.413733,-118.8826315)
CA-22	(35.3038205,-118.031595)
CA-23	(34.916539,-120.5965215)
CA-24	(34.5273315,-119.0690315)
CA-25	(35.7011888450917,-116.510902610163)
CA-26	(34.2346625,-117.784396)
CA-27	(34.2826635,-118.488842)
CA-28	(34.1593095,-118.402014)
CA-29	(34.171706,-118.2686585)
CA-03	(38.2405125,-120.682954)
CA-30	(34.0735035,-118.6645815)
CA-31	(34.0827095,-118.2756575)
CA-32	(34.082698,-117.923273)
CA-33	(34.025511,-118.3571095)
CA-34	(33.9991745,-118.200094)
CA-35	(33.926961,-118.308905)
CA-36	(33.8391155,-118.3573565)
CA-37	(33.846666,-118.224753)
CA-38	(34.0541105,-117.7462395)
CA-39	(33.906134,-118.0147415)
CA-04	(41.2199535,-120.663497)
CA-40	(33.831278,-117.856337)
CA-41	(34.7815865,-115.428401)
CA-42	(33.918874,-117.782284)
CA-43	(34.127252,-117.387392)
CA-44	(33.8648965,-117.4779635)
CA-45	(33.733832,-114.9716685)
CA-46	(33.701158,-117.966866)
CA-47	(33.8314145,-117.916842)
CA-48	(33.6860695,-117.7773865)
CA-49	(33.228002,-116.7631375)
CA-05	(38.517706,-121.4540145)
CA-50	(33.0609835,-117.156628)
CA-51	(33.080948,-115.3929105)
CA-52	(32.828238,-116.4769025)
CA-53	(32.7483765,-117.186475)
CA-06	(38.1418786401828,-122.722456160105)
CA-07	(38.1063948249693,-122.208420171127)
CA-08	(37.7598959555884,-122.416908897827)
CA-09	(37.7438285,-122.0799735)
CO-01	(39.714929,-104.9688825)
CO-02	(39.9278455,-106.045112)
CO-03	(38.182575,-108.0793345)
CO-04	(39.934602,-102.8856385)
CO-05	(38.7919935,-105.708459)
CO-06	(39.4051915,-104.3836755)
CO-07	(39.9209,-104.8077045)
CT-01	(41.797998,-72.625785)
CT-02	(41.5757145,-72.1536005)
CT-03	(41.3562144561532,-72.8081201032793)
CT-04	(41.2177955,-73.29771)
CT-05	(41.583704,-73.354252)
DC-00	(38.8914936337021,-76.9965107715867)
DE-00	(38.692361,-75.5029015)
FL-01	(30.6620445,-85.9966615)
FL-10	(27.850552,-82.709922)
FL-11	(27.980138,-82.433839)
FL-12	(27.9252415,-81.736084)
FL-13	(27.3387615,-81.9093135)
FL-14	(26.6251205,-81.773422)
FL-15	(27.9857475,-80.7758455)
FL-16	(27.2960495,-81.170004)
FL-17	(25.9097215,-80.21577)
FL-18	(25.757532335722,-80.2543998305819)
FL-19	(26.487635,-80.163865)
FL-02	(30.2474225,-84.8899015)
FL-20	(26.086302,-80.3317525)
FL-21	(25.8090755,-80.315373)
FL-22	(26.803995,-80.1646585)
FL-23	(26.5405915,-80.5918015)
FL-24	(28.570691,-80.9573355)
FL-25	(25.668706,-80.904295)
FL-03	(29.5597425,-81.920889)
FL-04	(30.35153,-82.4849285)
FL-05	(28.627684,-82.2772325)
FL-06	(29.964648,-81.9848215)
FL-07	(29.4964525,-81.33131)
FL-08	(29.0231125,-81.7369505)
FL-09	(28.0922355,-82.1570645)
GA-01	(31.2137155,-82.5153915)
GA-10	(34.2409255,-83.312287)
GA-11	(34.1091965,-84.9015055)
GA-12	(32.835743,-82.2027805)
GA-13	(33.783056,-84.653084)
GA-02	(31.8603600376249,-84.4447447070885)
GA-03	(33.1780485,-84.7756255)
GA-04	(33.751709,-84.196775)
GA-05	(33.7372545,-84.4084805)
GA-06	(34.224534,-84.389937)
GA-07	(33.94237,-83.9249145)
GA-08	(32.498377,-83.2817315)
GA-09	(34.586942,-84.01891)
GU-00	(13.446450,144.786636)
HI-01	(21.349228457232,-158.01332586392)
HI-02	(25.7721204757691,-171.735733032227)
IA-01	(42.3147405,-90.9178025)
IA-02	(41.2012455,-91.52906)
IA-03	(41.6865605,-92.356064)
IA-04	(42.690879,-93.9409015)
IA-05	(42.769173,-95.687801)
ID-01	(46.238655,-115.7062915)
ID-02	(43.1771166871035,-113.941557499404)
IL-01	(41.632983,-87.74785)
IL-10	(42.1600755,-87.8877685)
IL-11	(41.246695,-88.019388)
IL-12	(37.9088535,-89.333212)
IL-13	(41.7038795,-88.1548645)
IL-14	(41.896221,-88.4321245)
IL-15	(39.8174785,-88.116647)
IL-16	(42.2012562798066,-88.9486290580963)
IL-17	(40.8359225,-90.5836155)
IL-18	(39.8836915,-90.684109)
IL-19	(38.6483265,-88.5879115)
IL-02	(41.5335745,-87.612559)
IL-03	(41.7964315,-87.846207)
IL-04	(41.908434,-87.704426)
IL-05	(41.968581,-87.7532585)
IL-06	(41.964729,-87.9755665)
IL-07	(41.887913,-87.6566507802768)
IL-08	(42.300007,-88.115708)
IL-09	(42.0178295,-87.841763)
IN-01	(41.2645815,-87.3025645)
IN-02	(41.3184475,-86.503352)
IN-03	(41.3135215,-85.611149)
IN-04	(40.1484115,-86.690785)
IN-05	(40.690098,-85.772776)
IN-06	(39.6259,-85.2525065)
IN-07	(39.7774425,-86.1568365)
IN-08	(39.3419575,-87.108628)
IN-09	(38.6850595,-85.881985)
KS-01	(38.174009,-100.2550615)
KS-02	(38.061244,-95.2888365)
KS-03	(38.8654819973385,-94.7591253785532)
KS-04	(37.5609485,-96.83005)
KY-01	(37.1735405,-87.6290525)
KY-02	(37.630925,-85.655208)
KY-03	(38.224711,-85.606229)
KY-04	(38.4881545,-83.9178405)
KY-05	(37.4009525,-83.2497835)
KY-06	(37.911858,-84.4778)
LA-01	(30.4774345,-90.0748135)
LA-02	(30.117565,-89.9620085)
LA-03	(29.6692575,-90.844238)
LA-04	(32.224992,-93.454276)
LA-05	(32.2186995,-91.7576575)
LA-06	(30.661513,-90.85465)
LA-07	(30.077019,-92.460088)
MA-01	(42.459045,-72.2319405)
MA-10	(42.1486305,-70.799078)
MA-02	(42.1859135,-72.0173295)
MA-03	(42.3083965,-71.791169)
MA-04	(41.8125235,-70.9524015)
MA-05	(42.527383,-71.507025)
MA-06	(42.6768210573901,-70.9358785325657)
MA-07	(42.412676,-71.232659)
MA-08	(42.351997,-71.0778455)
MA-09	(42.0436995,-71.0659405)
MD-01	(39.04171,-75.8849455)
MD-02	(39.4724345,-76.171034)
MD-03	(39.0302095,-76.7039395)
MD-04	(38.897762,-76.833993)
MD-05	(38.624313,-76.8317805)
MD-06	(39.530714,-77.365504)
MD-07	(39.2314555,-76.945348)
MD-08	(39.0231085,-77.1421015)
ME-01	(43.528699,-70.6710595)
ME-02	(45.818717,-69.0290345)
MH-00	(7.131474,171.184478)
MI-01	(46.3723933073474,-87.9114700183218)
MI-10	(43.146981,-82.7602745)
MI-11	(42.351887,-83.429934)
MI-12	(42.504485,-82.9203971996372)
MI-13	(42.381087,-82.986868)
MI-14	(42.3929865,-83.2075265)
MI-15	(41.9815855,-83.4928825)
MI-02	(43.575008,-86.002782)
MI-03	(42.7694175,-85.309749)
MI-04	(43.554608,-84.9591715)
MI-05	(43.4120215,-83.5633635)
MI-06	(42.1765487536499,-85.7590329536188)
MI-07	(42.0909765,-84.7033285)
MI-08	(42.6013245,-84.261729)
MI-09	(42.624733,-83.205132)
MN-01	(43.8482755,-92.43196)
MN-02	(44.4849695,-93.2242675)
MN-03	(45.021863,-93.5753855)
MN-04	(44.995765,-93.096319)
MN-05	(44.9867145,-93.273675)
MN-06	(45.4218455,-94.010222)
MN-07	(45.565494,-95.628206)
MN-08	(47.2124855,-93.355616)
MO-01	(38.7660995,-90.284862)
MO-02	(38.9588315,-90.835058)
MO-03	(38.2143185,-90.569872)
MO-04	(38.271657,-93.7681305)
MO-05	(38.9149565,-94.48343)
MO-06	(40.1179965,-93.895061)
MO-07	(37.0478365,-93.386275)
MO-08	(37.099,-90.731568)
MO-09	(39.787944,-92.0685905)
MP-00	(15.142393,145.71991)
MS-01	(34.29848,-88.6535405)
MS-02	(33.139851,-90.253769)
MS-03	(32.0884645,-89.736157)
MS-04	(30.9218135,-89.120253)
MT-00	(47.000599,-107.5519675)
NC-01	(36.0815060793328,-77.192040333991)
NC-10	(35.6857075,-81.5792195)
NC-11	(35.4572625174443,-82.8250641386593)
NC-12	(35.798623,-80.3767775)
NC-13	(36.412409,-79.2323635)
NC-02	(35.4951355,-78.3938865)
NC-03	(34.8201928035927,-76.5889329818934)
NC-04	(35.9744165,-79.0150135)
NC-05	(36.1106535,-80.8455235)
NC-06	(35.7363,-79.7805375)
NC-07	(34.5117935,-77.911104)
NC-08	(35.1526275,-80.037884)
NC-09	(35.0896415,-80.6546785)
ND-00	(47.025979,-100.584324)
NE-01	(41.892715,-96.7608105)
NE-02	(41.274147,-96.0494935)
NE-03	(41.372276,-99.9420885)
NH-01	(43.066753,-71.1401145)
NH-02	(43.184395,-72.0185285)
NJ-01	(39.7754135,-75.0821675)
NJ-10	(40.728146,-74.227888)
NJ-11	(40.898393,-74.5218875)
NJ-12	(40.377457,-74.4983525)
NJ-13	(40.735721,-74.0453115)
NJ-02	(39.3677905,-74.7884055)
NJ-03	(39.879696,-74.6413845)
NJ-04	(40.0319015,-74.394094)
NJ-05	(41.073998,-74.827445)
NJ-06	(40.537753,-74.461197)
NJ-07	(40.604945,-74.8003565)
NJ-08	(40.8959485,-74.201689)
NJ-09	(40.815,-74.0833855)
NM-01	(34.5234245,-105.864808)
NM-02	(33.1584445,-107.490727)
NM-03	(36.1082245,-104.1466595)
NV-01	(36.2464675,-115.172787)
NV-02	(40.496647,-117.0213685)
NV-03	(36.408602,-114.466853)
NY-01	(40.9211703344395,-72.6884209139013)
NY-10	(40.642082,-73.9192595)
NY-11	(40.6429175,-73.959698)
NY-12	(40.704958,-73.9388075)
NY-13	(40.5886805,-74.1573075)
NY-14	(40.762127,-73.926951)
NY-15	(40.8341475,-73.9342095)
NY-16	(40.8132795,-73.9126555)
NY-17	(41.058796,-73.945331)
NY-18	(41.013797,-73.767126)
NY-19	(41.435948,-73.6952345)
NY-02	(40.8317415,-73.3472865)
NY-20	(43.2445025,-73.660816)
NY-21	(42.696311,-74.2718035)
NY-22	(41.8007625,-74.2642055)
NY-23	(43.997424,-75.648722)
NY-24	(42.437224,-75.8371895)
NY-25	(42.989933,-76.176576)
NY-26	(42.860462,-78.11098)
NY-27	(42.667785,-78.663941)
NY-28	(43.1972545,-79.006466)
NY-29	(42.377795,-77.2072225)
NY-03	(40.8495985,-73.5594195)
NY-04	(40.6869065,-73.6567925)
