pmid,authors
17686458,"Li, Ya Lin|Quarles, L Darryl|Zhou, Hong Hao|Xiao, Zhou Sheng"
14614456,"Crnkovic-Mertens, Irena|Hoppe-Seyler, Felix|Butz, Karin"
15302584,"Bilinski, Szczepan M|Jaglarz, Mariusz K|Szymanska, Beata|Etkin, Laurence D|Kloc, Malgorzata"
17194936,"Zhang, Min|Bai, Chun-Xue|Zhang, Xin|Chen, Jie|Mao, Ling|Gao, Lei"
16547768,"Baker, Benjamin E|Kestler, Daniel P|Ichiki, Albert T"
16957367,"Muljo, Stefan A|Kanellopoulou, Chryssa"
16703414,"Qian, Haili|Lu, Ning|Xue, Liyan|Liang, Xiao|Zhang, Xueyan|Fu, Ming|Xie, Yongqiang|Zhan, Qimin|Liu, Zhihua|Lin, Chen"
10600370,"Franch, T|Petersen, M|Wagner, E G|Jacobsen, J P|Gerdes, K"
18259889,"Ishaq, Musarat|Hu, Jiajie|Wu, Xiaoyun|Fu, Qiong|Yang, Yalin|Liu, Qingzhen|Guo, Deyin"
11231151,"Maeda, I|Kohara, Y|Yamamoto, M|Sugimoto, A"
12713903,"Denli, Ahmet M|Hannon, Gregory J"
11231150,"Rutledge, E|Bianchi, L|Christensen, M|Boehmer, C|Morrison, R|Broslat, A|Beld, A M|George, A L|Greenstein, D|Strange, K"
16785326,"Olson, Sara K|Bishop, Joseph R|Yates, John R|Oegema, Karen|Esko, Jeffrey D"
17055661,"Jankowski, M P|Cornuet, P K|McIlwrath, S|Koerber, H R|Albers, K M"
18382765,"Hansmann, Georg|de Jesus Perez, Vinicio A|Alastalo, Tero-Pekka|Alvira, Cristina M|Guignabert, Christophe|Bekker, Janine M|Schellong, Stefan|Urashima, Takashi|Wang, Lingli|Morrell, Nicholas W|Rabinovitch, Marlene"
10207147,"Boxem, M|Srinivasan, D G|van den Heuvel, S"
12533675,"Ma, Yihong|Cress, W Douglas|Haura, Eric B"
11804586,"Luo, Xuelian|Tang, Zhanyun|Rizo, Josep|Yu, Hongtao"
17129386,"Gong, Wuming|Ren, Yongliang|Xu, Qiqi|Wang, Yejun|Lin, Dong|Zhou, Haiyan|Li, Tongbin"
17924007,"Garc&iacute;a, Liliana Torcoroma|Leite, Ney Ribeiro|Alfonzo, Juan D|Thiemann, Otavio Henrique"
17145765,"Kim, Youngjo|Kipreos, Edward T"
12435362,"Smith, Pliny|Leung-Chiu, W M|Montgomery, Ruth|Orsborn, April|Kuznicki, Kathleen|Gressman-Coberly, Emily|Mutapcic, Lejla|Bennett, Karen"
16719778,"Janardhan, S|Srivani, P|Sastry, G Narahari"
15777697,"Fanelli, Elena|Di Vito, Mauro|Jones, John T|De Giorgi, Carla"
17457057,"Wheatley, Sally P|Barrett, Rachel M|Andrews, Paul D|Medema, Rene H|Morley, Simon J|Swedlow, Jason R|Lens, Susanne M A"
15081373,"Svoboda, Petr|Stein, Paula|Anger, Martin|Bernstein, Emily|Hannon, Gregory J|Schultz, Richard M"
15122332,"Lakka, Sajani S|Gondi, Christopher S|Yanamandra, Niranjan|Olivero, William C|Dinh, Dzung H|Gujrati, Meena|Rao, Jasti S"
15351708,"Zhao, Zhongying|Fang, Lily Li|Johnsen, Robert|Baillie, David Leonard"
15777692,"Hosono, Tetsuji|Mizuguchi, Hiroyuki|Katayama, Kazufumi|Koizumi, Naoya|Kawabata, Kenji|Yamaguchi, Teruhide|Nakagawa, Shinsaku|Watanabe, Yoshiteru|Mayumi, Tadanori|Hayakawa, Takao"
